Pais;Poblacion_2020;Cambio_porc_anual;Cambio_neto_anual;Densidad;Area;Migrantes;Tasa_de_crecimiento;Edad_promedio;Poblacion_urbana;Porc_mundial;Code;Continente;PBI;Poblacion
Canada;37799407;0.89;331107;4;9093510;242032;1.5;41;81;0.48;CAN;America;1535768;36264604
Cayman Islands;65854;1.19;774;274;240;NA;NA;NA;97;0;CYM;America;NA;60765
Central African Republic;4843954;1.78;84582;8;622980;-40000;4.8;18;43;0.06;CAF;Africa;1756;4594621
Chad;16502877;3;478988;13;1259200;2000;5.8;17;23;0.21;TCD;Africa;9601;14452543
Channel Islands;174140;0.93;1604;915;190;1351;1.5;43;30;0;CHI;Europe;NA;164541
Chile;19144605;0.87;164163;26;743532;111708;1.7;35;85;0.25;CHL;America;247028;17909754
China;1440297825;0.39;5540090;153;9388211;-348399;1.7;38;61;18.47;CHN;Asia;11199145;1378665000
Colombia;50976248;1.08;543448;46;1109500;204796;1.8;31;80;0.65;COL;America;282463;48653419
Comoros;872695;2.2;18715;467;1861;-2000;4.2;20;29;0.01;COM;Africa;617;795601
Costa Rica;5102158;0.92;46557;100;51060;4200;1.8;33;80;0.07;CRI;America;57436;4857274
Croatia;4100719;-0.61;-25037;73;55960;-8001;1.4;44;58;0.05;HRV;Europe;50715;4174349
Cuba;11325391;-0.06;-6867;106;106440;-14400;1.6;42;78;0.15;CUB;America;NA;11475982
Cyprus;1208886;0.73;8784;131;9240;5000;1.3;37;67;0.02;CYP;Europe;20047;1170125
Denmark;5795780;0.35;20326;137;42430;15200;1.8;42;88;0.07;DNK;Europe;306900;5728010
Djibouti;990447;1.48;14440;43;23180;900;2.8;27;79;0.01;DJI;Africa;NA;942333
Dominica;72017;0.25;178;96;750;NA;NA;NA;74;0;DMA;America;581;73543
Dominican Republic;10866667;1.01;108952;225;48320;-30000;2.4;28;85;0.14;DOM;America;71584;10648791
Ecuador;17688599;1.55;269392;71;248360;36400;2.4;28;63;0.23;ECU;America;98614;16385068
Egypt;102659126;1.94;1946331;103;995450;-38033;3.3;25;43;1.31;EGY;Africa;332791;95688681
El Salvador;6491923;0.51;32652;313;20720;-40539;2.1;28;73;0.08;SLV;America;26797;6344722
Equatorial Guinea;1410419;3.47;46999;50;28050;16000;4.6;22;73;0.02;GNQ;Africa;10685;1221490
Estonia;1326693;0.07;887;31;42390;3911;1.6;42;68;0.02;EST;Europe;23338;1315790
Ethiopia;115434444;2.57;2884858;115;1000000;30000;4.3;19;21;1.47;ETH;Africa;72374;102403196
Fiji;897573;0.73;6492;49;18270;-6202;2.8;28;59;0.01;FJI;Oceania;4704;898760
Finland;5542237;0.15;8564;18;303890;14000;1.5;43;86;0.07;FIN;Europe;238678;5495303
France;65298930;0.22;143783;119;547557;36527;1.9;42;82;0.84;FRA;Europe;2465454;66892205
French Polynesia;281191;0.58;1621;77;3660;-1000;2;34;64;0;PYF;Asia;NA;280208
Gabon;2234448;2.45;53155;9;257670;3260;4;23;87;0.03;GAB;Africa;14214;1979786
Gambia;2427782;2.94;68962;239;10120;-3087;5.3;18;59;0.03;GMB;Africa;965;2038501
Georgia;3987805;-0.19;-7598;57;69490;-10000;2.1;38;58;0.05;GEO;Asia;14378;3719300
Germany;83830972;0.32;266897;240;348560;543822;1.6;46;76;1.07;DEU;Europe;3477796;82487842
Ghana;31181428;2.15;655084;137;227540;-10000;3.9;22;57;0.4;GHA;Africa;42690;28206728
Gibraltar;33689;-0.03;-10;3369;10;NA;NA;NA;NA;0;GIB;Europe;NA;34408
Greece;10413936;-0.48;-50401;81;128900;-16000;1.3;46;85;0.13;GRC;Europe;192691;10770521
Greenland;56787;0.17;98;0;410450;NA;NA;NA;87;0;GRL;America;NA;56186
Grenada;112614;0.46;520;331;340;-200;2.1;32;35;0;GRD;America;1056;107317
Guam;169031;0.89;1481;313;540;-506;2.3;31;95;0;GUM;Oceania;5793;162896
Guatemala;17971382;1.9;334096;167;107160;-9215;2.9;23;52;0.23;GTM;America;68763;16582469
Guinea;13191279;2.83;361549;53;245720;-4000;4.7;18;39;0.17;GIN;Africa;8200;12395924
Guinea-Bissau;1975718;2.45;47079;70;28120;-1399;4.5;19;45;0.03;GNB;Africa;1165;1815698
Guyana;787215;0.48;3786;4;196850;-6000;2.5;27;27;0.01;GUY;America;3502;773303
Haiti;11426356;1.24;139451;414;27560;-35000;3;24;57;0.15;HTI;America;8023;10847334
Honduras;9931333;1.63;158490;89;111890;-6800;2.5;24;57;0.13;HND;America;21517;9112867
Hong Kong;7507523;0.82;60827;7140;1050;29308;1.3;45;NA;0.1;HKG;Asia;320910;7336600
Hungary;9655983;-0.25;-24328;107;90530;6000;1.5;43;72;0.12;HUN;Europe;125817;9814023
Iceland;341628;0.65;2212;3;100250;380;1.8;37;94;0;ISL;Europe;20304;335439
India;1382345085;0.99;13586631;464;2973190;-532687;2.2;28;35;17.7;IND;Asia;2263792;1324171354
Indonesia;274021604;1.07;2898047;151;1811570;-98955;2.3;30;56;3.51;IDN;Asia;932259;261115456
Iran;84176929;1.3;1079043;52;1628550;-55000;2.2;32;76;1.08;IRN;Asia;418977;80277428
Iraq;40372771;2.32;912710;93;434320;7834;3.7;21;73;0.52;IRQ;Asia;171489;37202572
Ireland;4947267;1.13;55291;72;68890;23604;1.8;38;63;0.06;IRL;Europe;304819;4749777
Isle of Man;85112;0.53;449;149;570;NA;NA;NA;53;0;IMN;Europe;NA;83737
Israel;8678517;1.6;136158;400;21640;10000;3;30;93;0.11;ISR;Asia;317745;8546000
Italy;60446035;-0.15;-88249;206;294140;148943;1.3;47;69;0.78;ITA;Europe;1859384;60627498
Jamaica;2963429;0.44;12888;273;10830;-11332;2;31;55;0.04;JAM;America;14057;2881355
Japan;126407422;-0.3;-383840;347;364555;71560;1.4;48;92;1.62;JPN;Asia;4949273;126994511
Jordan;10220604;1;101440;115;88780;10220;2.8;24;91;0.13;JOR;Asia;38655;9455802
